Group,Metric Name,Time,Value
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.34992233661572925,103765959719610
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.35190843241218567,103765959912650
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3553269619159756,103765960202493
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.35720193253408167,103765960396053
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3592444676173155,103765960590379
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.361255251218249,103765960784138
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3631585567028571,103765960978463
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3651050057288932,103765961173263
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.37390576717131985,103765962046021
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.37601229616981136,103765962238020
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.37793719346393584,103765962431565
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3799250626943989,103765962625095
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.38191455506785116,103765962818380
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3838969136276721,103765963012185
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.38590101428802676,103765963209004
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.38790133763414125,103765963408363
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3899056987989263,103765963603423
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.3919225441375662,103765963793740
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.39392418002523366,103765963988295
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.395912961021203,103765964179330
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.39789385674845346,103765964370366
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.39989341862007916,103765964560438
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.40219282109104787,103765964752989
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4048361294876948,103765965045570
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.40694604504378096,103765965238871
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4089474504852216,103765965433456
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4109353698126905,103765965624981
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.41295923875154894,103765965818802
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.414919674861615,103765966010847
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4169226834072424,103765966203168
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4189275054644812,103765966397234
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4209298727684339,103765966589738
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.42801309844330165,103765967266534
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.42997192142977975,103765967459084
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4319247127367549,103765967654603
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4339111992898569,103765967851407
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.43602852920280716,103765968044707
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4379123569715454,103765968239767
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.439903542623795,103765968434322
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.44192656993295537,103765968630651
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.44391996987286303,103765968825206
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.447238215190366,103765969115034
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4491628419606589,103765969313016
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.45101545929476,103765969509590
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4546024950873874,103765969895640
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.45694764614408756,103765970089965
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4589541113831178,103765970280695
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.46092958661433653,103765970476489
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4629270644505194,103765970669040
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.46496270618574986,103765970861560
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.46692286175258324,103765971054355
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4689263211712632,103765971249904
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.47304129925021615,103765971636229
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.47497246868947157,103765971829040
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4769311714431356,103765972024298
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.4789311040326046,103765972218088
MPI Rank 0,A2rocm_smi:::energy_count:device=0,0.48134298430108124,103765972411159
