Thread,Group,Depth,Name,Start Time,End Time,Duration
Master thread,MPI Rank 7,1,"main",8.000792414399547e-05,24.999249883504422,24.99916987558028
Master thread,MPI Rank 7,2,"MPI_Init",9.597884960522157e-05,0.19468582283991429,0.19458984399030907
Master thread,MPI Rank 7,2,"MPI_Comm_rank",0.19469532123222122,0.19469625303652982,9.318043086015138e-07
Master thread,MPI Rank 7,2,"MPI_Comm_size",0.19469689427820455,0.19469773590790262,8.416296980728877e-07
Master thread,MPI Rank 7,2,"HPLMXP_pinfo(int, char**, HPLMXP_S_test*, int*, int*, int*, int*, HPLMXP_T_ORDER*, int*, int*, int*, int*, int*, HPLMXP_T_TOP*, int*)",0.1946982068197575,0.19964125834701282,0.004943051527255327
Master thread,MPI Rank 7,3,"MPI_Comm_rank",0.19469843726598435,0.1946985174211937,8.015520935877873e-08
Master thread,MPI Rank 7,3,"MPI_Comm_size",0.19469858755700187,0.19469865769281006,7.013580818893139e-08
Master thread,MPI Rank 7,3,"MPI_Comm_split_type",0.19470601193326711,0.19637429232468584,0.001668280391418725
Master thread,MPI Rank 7,3,"MPI_Comm_rank",0.19637481333354653,0.19637506381857572,2.504850291906724e-07
Master thread,MPI Rank 7,3,"MPI_Comm_size",0.19637516401258742,0.19637527422600026,1.1021341284056518e-07
Master thread,MPI Rank 7,3,"MPI_Comm_free",0.19637915173425213,0.19640277748220544,2.362574795330974e-05
Master thread,MPI Rank 7,3,"double HPLMXP_plamch<double>(int, HPLMXP_T_MACH)",0.19640430043118293,0.19667122729769015,0.00026692686650722774
Master thread,MPI Rank 7,4,"double HPLMXP_lamch<double>(HPLMXP_T_MACH)",0.1964054927399219,0.1964332665199586,2.7773780036710605e-05
Master thread,MPI Rank 7,4,"int HPLMXP_all_reduce<double>(double*, int, int, int)",0.19643426846007536,0.19667112710367848,0.0002368586436031217
Master thread,MPI Rank 7,5,"MPI_Allreduce",0.19643928818006035,0.19667072632763177,0.00023143814757142778
Master thread,MPI Rank 7,3,"int HPLMXP_all_reduce<int>(int*, int, int, int)",0.19667138760810884,0.19963430488260248,0.0029629172744936316
Master thread,MPI Rank 7,4,"MPI_Allreduce",0.19667180842295787,0.19963423474679431,0.002962426323836448
Master thread,MPI Rank 7,2,"HPLMXP_grid_init(int, HPLMXP_T_ORDER, int, int, int, int, HPLMXP_S_grid&)",0.1996424706945541,0.2039291211931135,0.004286650498559391
Master thread,MPI Rank 7,3,"MPI_Comm_rank",0.1996426310049728,0.1996427812959903,1.5029101751995455e-07
Master thread,MPI Rank 7,3,"MPI_Comm_size",0.19964290152880432,0.19964297166461248,7.013580816117582e-08
Master thread,MPI Rank 7,3,"MPI_Comm_split",0.19964400366293275,0.20370080909870636,0.004056805435773608
Master thread,MPI Rank 7,3,"MPI_Comm_split",0.20370128001056126,0.20389147830292664,0.00019019829236538444
Master thread,MPI Rank 7,3,"MPI_Comm_split",0.20389188909837452,0.20392895086329366,3.7061764919132933e-05
Master thread,MPI Rank 7,2,"HPLMXP_grid_info(HPLMXP_S_grid const&, int&, int&, int&, int&)",0.20392941175574736,0.20392951194975903,1.0019401167071784e-07
Master thread,MPI Rank 7,2,"HPLMXP_InitGPU(HPLMXP_S_grid const&)",0.20392965222137538,13.899688727263925,13.695759075042549
Master thread,MPI Rank 7,3,"HPLMXP_grid_info(HPLMXP_S_grid const&, int&, int&, int&, int&)",0.20392978247359056,0.2039298325705964,5.009700584923671e-08
Master thread,MPI Rank 7,3,"MPI_Comm_rank",0.2039298926870034,0.2039300129198174,1.2023281401041253e-07
Master thread,MPI Rank 7,3,"MPI_Comm_size",0.20393011311382908,0.20393018324963727,7.013580818893139e-08
Master thread,MPI Rank 7,2,"HPLMXP_ptest(HPLMXP_S_test&, HPLMXP_S_grid&, HPLMXP_S_palg&, int, int)",13.89969846612186,24.99405586601672,11.094357399894859
Master thread,MPI Rank 7,3,"HPLMXP_grid_info(HPLMXP_S_grid const&, int&, int&, int&, int&)",13.899699087324732,13.89969931777096,2.304462274338448e-07
Master thread,MPI Rank 7,3,"void HPLMXP_pmat_init<double>(HPLMXP_S_grid&, int, int, HPLMXP_T_pmat<double>&)",13.899700520099099,13.899700850739338,3.3064023874374016e-07
Master thread,MPI Rank 7,3,"void HPLMXP_pmat_init<float>(HPLMXP_S_grid&, int, int, HPLMXP_T_pmat<float>&)",13.899700960952751,13.899701031088558,7.013580649584128e-08
Master thread,MPI Rank 7,3,"int HPLMXP_pmatgen<float>(HPLMXP_S_grid&, HPLMXP_T_pmat<float>&, unsigned long&)",13.899702043048077,19.329801289524983,5.430099246476907
Master thread,MPI Rank 7,4,"int HPLMXP_all_reduce<int>(int*, int, int, int)",13.899918121453657,19.328947686642508,5.42902956518885
Master thread,MPI Rank 7,5,"MPI_Allreduce",13.899922059078317,19.328946123615925,5.429024064537607
