Thread,Group,Depth,Name,Start Time,End Time,Duration
Master thread,MPI Rank 0,1,"main",7.638140189136636e-05,24.999248255351734,24.999171873949845
Master thread,MPI Rank 0,2,"MPI_Init",9.233228855025717e-05,0.19468296731058152,0.19459063502203125
Master thread,MPI Rank 0,2,"MPI_Comm_rank",0.19468943984373582,0.19469048186145727,1.042017721442079e-06
Master thread,MPI Rank 0,2,"MPI_Comm_size",0.1946911431419343,0.1946922953730686,1.1522311342826441e-06
Master thread,MPI Rank 0,2,"HPLMXP_pinfo(int, char**, HPLMXP_S_test*, int*, int*, int*, int*, HPLMXP_T_ORDER*, int*, int*, int*, int*, int*, HPLMXP_T_TOP*, int*)",0.19469291657594098,0.2034747112919573,0.008781794716016311
Master thread,MPI Rank 0,3,"MPI_Comm_rank",0.19469307688635967,0.1946931870997725,1.1021341284056518e-07
Master thread,MPI Rank 0,3,"MPI_Comm_size",0.1946932572355807,0.19469332737138886,7.013580816117582e-08
Master thread,MPI Rank 0,3,"MPI_Comm_split_type",0.19470021069999102,0.19636837085859574,0.0016681601586047146
Master thread,MPI Rank 0,3,"MPI_Comm_rank",0.19636902211967164,0.19636930266290434,2.805432327002144e-07
Master thread,MPI Rank 0,3,"MPI_Comm_size",0.19636949303152654,0.19636960324493938,1.1021341284056518e-07
Master thread,MPI Rank 0,3,"MPI_Comm_free",0.1963749235469594,0.19644511947153992,7.019592458051838e-05
Master thread,MPI Rank 0,3,"double HPLMXP_plamch<double>(int, HPLMXP_T_MACH)",0.19644697306075593,0.19667032555158506,0.00022335249082913733
Master thread,MPI Rank 0,4,"double HPLMXP_lamch<double>(HPLMXP_T_MACH)",0.1964484058351229,0.19647641006138647,2.8004226263561582e-05
Master thread,MPI Rank 0,4,"int HPLMXP_all_reduce<double>(double*, int, int, int)",0.19647736190449738,0.19667019529936988,0.00019283339487249918
Master thread,MPI Rank 0,5,"MPI_Allreduce",0.19648243172148822,0.19666949394128816,0.00018706221979994386
Master thread,MPI Rank 0,3,"int HPLMXP_all_reduce<int>(int*, int, int, int)",0.1996286339015416,0.1996333630588927,4.7291573511132334e-06
Master thread,MPI Rank 0,4,"MPI_Allreduce",0.19963021696692607,0.1996330624768577,2.8455099316260224e-06
Master thread,MPI Rank 0,3,"HPLMXP_fprintf(_IO_FILE*, char const*, ...)",0.19965278065835562,0.1999247072060455,0.00027192654768987135
Master thread,MPI Rank 0,3,"HPLMXP_fprintf(_IO_FILE*, char const*, ...)",0.19992567908795875,0.20004828650004722,0.00012260741208847126
Master thread,MPI Rank 0,3,"HPLMXP_fprintf(_IO_FILE*, char const*, ...)",0.20004890770291964,0.20014685736873453,9.794966581488929e-05
Master thread,MPI Rank 0,3,"HPLMXP_fprintf(_IO_FILE*, char const*, ...)",0.20014730824178706,0.2002605475137838,0.00011323927199674566
Master thread,MPI Rank 0,3,"HPLMXP_fprintf(_IO_FILE*, char const*, ...)",0.20026115869725503,0.2003448006582025,8.364196094748366e-05
